TOTAL VOTER TURNOUT: 97,057,730
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			4724			
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			8464			
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			4474			
2024-11-05	12	0	0	72	ROSCOMMON	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			0	Y		
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			2601			
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		2905			
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			46371			
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466895	ILITCH	DENISE			45745			
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466904	VARTANIAN	SEVAG			39348			
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	1	DEMOCRATIC	466905	RYDER DIGGS	SHAUNA			43293			
2024-11-05	12	0	0	73	SAGINAW	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	999	WRITE-IN	481372	ARRAF	HUWAIDA			16	Y		
2024-11-05	12	0	0	74	ST CLAIR	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	3	LIBERTARIAN	376156	CHADDERDON	ANDREW			2813			
2024-11-05	12	0	0	74	ST CLAIR	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	4	U.S. TAXPAYERS	466408	OETMAN	DONNA	M.		3436			
2024-11-05	12	0	0	74	ST CLAIR	REGENT OF THE UNIVERSITY OF MICHIGAN 8 YEAR TERMS (2) POSITIONS	2	REPUBLICAN	466894	MEYERS	CARL			55703			
